Category: All categories

Month,alexa privacy: (United States)
2014-01,0
2014-02,3
2014-03,0
2014-04,0
2014-05,0
2014-06,0
2014-07,0
2014-08,0
2014-09,0
2014-10,3
2014-11,3
2014-12,0
2015-01,0
2015-02,0
2015-03,0
2015-04,0
2015-05,0
2015-06,7
2015-07,0
2015-08,0
2015-09,0
2015-10,0
2015-11,3
2015-12,3
2016-01,3
2016-02,0
2016-03,5
2016-04,5
2016-05,4
2016-06,3
2016-07,8
2016-08,0
2016-09,3
2016-10,5
2016-11,10
2016-12,34
2017-01,38
2017-02,14
2017-03,15
2017-04,18
2017-05,10
2017-06,12
2017-07,20
2017-08,10
2017-09,21
2017-10,18
2017-11,29
2017-12,45
2018-01,27
2018-02,28
2018-03,20
2018-04,27
2018-05,37
2018-06,20
2018-07,17
2018-08,12
2018-09,17
2018-10,32
2018-11,32
2018-12,66
2019-01,35
2019-02,19
2019-03,14
2019-04,100
2019-05,53
2019-06,28
2019-07,60
2019-08,56
2019-09,54
2019-10,34
2019-11,58
2019-12,71
2020-01,56
2020-02,49
